post_id,correctness_human,completeness_human,justification_human,actionability_human,clarity_human,overall_human
122e4c22-cb2a-4002-a172-dcf87aba1a27,3.0,2.0,2.0,2.0,3.0,2.0
1339b3e8-5636-48f9-8371-16f544641185,3.0,2.0,2.0,1.5,3.5,2.5
1427f33a-ae98-4165-b9c1-27a4d480986b,3.0,2.0,2.0,2.0,4.0,2.0
14db198a-9e71-4072-b7a2-f59c0951506c,4.0,3.0,4.0,3.0,4.0,4.0
1647dc7a-3ba1-48bb-abf2-622e7af27a98,1.0,1.0,1.0,1.0,3.0,1.0
16b197b8-5321-4dca-856a-c7aab6f19f76,1.0,1.0,1.0,1.0,2.0,1.0
16f610b0-97de-46a7-9c91-e257ee430c69,3.0,2.0,2.0,2.0,4.0,3.0
17bfff59-4463-43de-aacd-7e90d5a5b3a9,1.0,1.0,1.0,1.0,3.0,1.0
184e73e9-8a25-49d4-b4af-74de5d886485,2.0,2.0,2.0,2.0,4.0,2.0
189c7e0c-3ded-40f3-9f77-eea1b5082212,3.0,2.0,3.0,1.0,4.0,3.0
190f90e3-3022-4f5c-8b2e-16e149024bf2,1.0,1.0,1.0,1.0,3.0,1.0
199590dd-fc9d-4482-a560-7260b82ac4f5,2.5,2.5,3.0,2.0,3.5,2.5
1a855684-9231-44fe-93c3-3b2e817216e7,2.0,1.0,2.0,1.0,4.0,2.0
1b652c47-9cee-4075-86f8-1847e9e45cfc,4.0,3.0,3.0,3.0,4.0,4.0
1b72a447-0e6c-4002-ba1c-90396f79c56e,4.0,3.0,3.0,2.0,4.0,4.0
1bb62638-a3fb-4a25-98e1-9d79a48296be,2.0,2.0,2.0,1.0,4.0,2.0
1c0bca24-09dd-461d-a55a-312a96d67791,3.0,2.0,3.0,1.0,4.0,3.0
1c3d1fe0-9d3c-4781-94a3-1f78e8846508,2.0,1.0,2.0,1.0,4.0,2.0
1c52370d-9c2b-4563-961c-317c26c80a5c,4.0,3.0,3.0,3.0,4.0,4.0
1cb7bac9-7bf0-487e-9146-a0b4fd40f4fc,2.0,2.0,2.0,1.0,3.0,2.0
1ce9068d-0f9a-4d1b-a399-b04e0e42eca6,1.0,1.0,1.0,1.0,3.0,1.0
1e364c19-5c68-4138-93f2-1b8037ea57e6,4.0,3.0,3.0,2.0,4.0,4.0
1f1fdd2e-4eb9-4f01-82d5-34e4943556cb,2.0,2.0,1.0,1.0,4.0,2.0
1f827924-f572-4598-a614-31a3c1c62a2c,1.0,1.0,1.0,1.0,2.0,1.0
1fc9d41e-1c54-498b-93c3-2aac11ab5bc6,1.0,1.0,1.0,1.0,2.0,1.0
1fd496fc-5931-487e-b1ab-95d2ea7481e9,2.0,2.0,2.0,1.5,3.0,2.0
2021d05e-6353-4bb6-903f-a89b6558fcb9,3.0,2.0,3.0,1.0,4.0,3.0
202e07c3-37f6-4fd6-aa3b-9531ce35ed9f,2.0,1.0,2.0,1.0,3.0,2.0
203e5e27-85b0-4712-8a96-d7c09871292d,3.0,2.0,2.0,2.0,4.0,3.0
20c22b40-6384-4a39-abec-926f30ca17bc,1.0,1.0,1.0,1.0,3.0,1.0
2166b0d6-00b2-49e7-a43d-406bbb391193,4.0,3.0,3.0,3.0,4.0,4.0
21a4206e-b5bd-4f5c-8e2b-7d934d5ccf83,2.0,2.0,2.0,1.0,4.0,2.0
228626a8-3c6a-4dd3-955f-59ddfbf80fc3,2.0,1.0,2.0,1.0,3.5,2.0
246618ca-f0d6-46a1-bdaa-012dfbe89087,3.0,2.0,3.0,1.0,4.0,3.0
2608ea2c-6628-41b5-b230-7235afb81358,4.0,3.0,3.0,2.0,4.0,4.0
265e936b-934f-40a4-b32b-73c91fa3a013,3.0,3.0,3.0,2.0,4.0,3.0
26f3b0cc-4326-40f1-b97b-600885a826de,3.0,2.0,2.0,3.0,4.0,3.0
26f652f7-8dfb-4e2b-82fb-a1a3ed167a94,2.0,1.0,2.0,1.0,4.0,2.0
273d2db2-51cd-4096-a28e-1b783dc42a55,3.0,2.0,3.0,1.5,4.0,2.5
2b51ac7b-12c0-4732-8c6c-d484f80466c7,2.0,1.5,2.0,1.0,3.0,2.0
2b705e9f-e438-469a-8694-ed53c5c594c9,1.0,1.0,1.0,1.0,3.0,1.0
2bd0f4f1-bbcc-4bd5-9ff7-4d84e520b6fa,4.0,3.0,3.0,3.0,4.0,4.0
2c110d22-0ac8-452d-8eb6-733b0f296a00,1.0,1.0,1.0,1.0,3.0,1.0
2cfc0689-489f-4cd4-be43-b8148aa2f9a2,3.0,2.0,2.0,1.0,4.0,3.0
2d46df76-0f28-444f-bffb-4dd054a79b43,3.0,3.0,3.0,2.0,4.0,3.0
2daad469-b9bd-4560-8c51-e7d711411d82,4.0,3.0,3.0,3.0,4.0,4.0
2e83b4f2-3fbc-46d4-b953-9bb9505e2993,3.0,3.0,2.0,2.0,4.0,3.0
2e8670f5-336b-4594-9e17-ac46b2b96cfc,4.0,4.0,3.0,3.0,4.0,4.0
2f546dc2-d461-43ab-9bb5-57bbcae5b41d,3.0,2.0,3.0,1.0,3.0,3.0
2fb8a2e7-3bc1-4c2f-8031-5c5463aae17e,1.0,1.0,1.0,1.0,3.0,1.0
304e8a5d-5d9f-46f2-8776-5589bebbbdf8,2.0,1.0,1.5,1.0,3.0,2.0
3089f416-dd6e-4cbd-9b81-9d39f20ad4cf,1.0,1.0,1.0,1.0,4.0,1.0
31371db4-9a80-4200-8504-b99fd9da8942,4.0,3.0,3.0,3.0,4.0,4.0
313f0a8a-284a-4bef-9a44-0563046174b1,1.0,1.0,1.0,1.0,3.0,1.0
324289d3-987b-4b9d-88ff-14304464d231,2.0,1.0,2.0,1.0,4.0,2.0
3297360b-18f0-4798-9b8f-2bff82b40116,1.0,1.0,1.0,1.0,2.0,1.0
372ee787-0f83-4cad-b4e1-3b1573501f27,1.0,1.0,1.0,1.0,3.0,1.0
37c5e9dd-aa45-4712-a497-4188b5557db3,4.0,4.0,4.0,3.0,4.0,4.0
38c77a2f-0611-4f34-b180-72c72730519b,3.0,3.0,2.0,2.0,4.0,3.0
397d9b15-3cce-4423-937b-f574ae55a04a,4.0,3.0,3.0,3.0,4.0,4.0
399a56ab-191f-42a0-a4ea-12e1e6143e7c,3.0,2.0,3.0,2.0,4.0,3.0
39dbffba-641c-48fd-9c9f-0a1dd5994316,4.0,3.0,3.0,2.0,4.0,3.0
3a4a9bea-b924-4005-bd87-722143ee80fb,4.0,3.0,3.0,2.0,4.0,3.0
3a916387-7e30-4f03-aabc-ccfd4a3ce3f4,2.0,1.0,1.0,1.0,4.0,2.0
3c8616d1-80ff-4635-96e6-d86fc849222b,2.0,1.0,2.0,1.0,4.0,2.0
3cf5e616-e394-4c8c-ac18-1572e9253edc,1.0,1.0,1.0,1.0,3.0,1.0
3d777c34-ea1a-4448-9c29-a1ce33592b36,1.0,1.0,1.0,1.0,3.0,1.0
3dca92e2-69d2-4984-9cdb-6c6ede22f51d,3.0,2.0,2.0,3.0,3.0,3.0
3ec27a71-006a-4412-9e7e-55e2a2d5c842,3.0,2.0,3.0,2.0,3.5,3.0
3f8f6ae4-d459-4d9b-9184-474c77e59ab7,4.0,3.0,3.0,2.0,3.5,3.5
3fddbd34-0d41-4518-92d5-5b4f003ebbb2,2.0,2.0,2.0,1.0,4.0,2.0
3fef84c2-357f-4b5e-a970-9e7263da27f3,2.0,2.0,2.0,1.0,4.0,2.0
3ff927d4-ad47-43cb-976c-7fcda2725ac8,3.0,3.0,2.0,2.0,4.0,3.0
40613848-0368-4c7f-b5ae-3cc791dd7ecf,4.0,3.0,4.0,2.0,5.0,3.5
407c7233-ae4d-4df9-a4b3-feacb0948e5d,3.0,2.0,2.0,3.0,3.5,3.0
40a19304-53d9-4137-9049-3be1574217f4,3.0,2.0,3.0,1.0,4.0,3.0
42f3068c-644a-4906-982f-3fcdfec9a374,2.0,1.0,1.5,1.0,4.0,2.0
4377b172-6b4c-4a0c-9970-fd96addc2346,4.0,3.0,3.0,3.5,4.0,4.0
441c1221-7253-44ee-8623-26f27576d449,2.0,1.0,2.0,1.0,3.5,2.0
44b512d7-8211-425b-99ef-4b838b89984a,1.0,1.0,1.0,1.0,4.0,1.0
45d6b0da-bcc4-4521-831d-fb47d5a05ee1,1.0,1.0,1.0,1.0,3.0,1.0
483a8a8f-dd6b-4ca8-9187-c9479e87a8b2,3.0,2.0,2.0,3.0,4.0,3.0
4a68970b-aaff-4bb8-82b2-4d76395b6e75,3.0,2.0,3.0,1.0,4.0,3.0
4b33dd5e-7f19-453e-b807-24ce22b49792,2.0,1.0,2.0,1.0,4.0,2.0
4b92107b-4da4-4477-938f-88bc6a10e135,1.0,1.0,1.0,1.0,2.0,1.0
4c78f4c7-9047-4874-8f1a-f4447469858c,2.0,2.0,2.0,2.0,4.0,2.0
4c7e46ad-de2a-4264-86c0-fffbaa9669b6,2.0,2.0,1.0,1.0,3.0,2.0
4c96761a-1fa1-43c5-a355-b11ec8350c4b,3.0,2.0,3.0,3.0,4.0,3.0
4c9e7c28-cdfa-4a7b-92d1-5b749e255bdc,3.0,2.0,3.0,1.0,4.0,3.0
4d5e9ad4-e78c-4241-8c3e-de359a157cfc,2.0,1.0,1.0,1.0,3.0,2.0
4e40ac5c-6419-42a1-a69e-82d911fc2d0f,3.0,3.0,3.0,3.0,4.0,3.0
4eb87773-7374-43b4-8a29-c0080240a090,3.0,2.0,2.0,1.0,4.0,3.0
4f311065-d39b-43ac-bfa7-c6f788dc93a3,1.0,1.0,1.0,1.0,2.0,1.0
4f79291c-36e8-43b5-9d4a-c971677b5994,4.0,2.0,3.0,1.0,4.0,3.0
501a22e8-01fa-4d45-b0a7-da16eda917b0,1.0,1.0,1.0,1.0,2.0,1.0
505d0f15-7b84-4001-a04b-f613fe3d5cee,4.5,4.0,3.5,4.0,5.0,4.5
50692aea-8dae-4808-a754-d77540965454,1.0,1.0,1.0,1.0,3.0,1.0
508781af-dfc0-42ac-83bb-332032cb76e4,2.5,2.0,2.0,1.0,3.5,2.0
50b39b45-fbf9-4bb3-adfa-8328cf7246ac,4.0,4.0,3.0,3.0,5.0,4.0
50d316c2-7fb9-43bc-b0bc-5bac0d6cc2a7,1.0,1.0,1.0,1.0,4.0,2.0
512066bc-8c93-4c46-bf08-f205d0e140ef,2.0,2.0,2.0,2.0,3.0,2.0
512c099b-5b68-4f57-a451-c69bc233c3a2,1.0,1.0,1.0,1.0,2.0,1.0
528d5a4f-2bfa-49b3-8550-89e349766fb2,1.5,2.0,2.0,2.0,3.0,2.0
53459296-4981-4e1b-a8be-fa7f96aa2bb8,4.0,2.0,3.0,2.0,4.0,3.0
535235c5-a117-4d2c-998d-ec405f63c11f,3.0,2.0,2.0,2.0,3.0,3.0
54baa373-794a-47c2-a317-ca37c5d881ae,1.0,1.0,1.0,1.0,1.0,1.0
54cd6766-5b79-4554-9afe-d862d355ea49,1.0,1.0,1.0,1.0,3.0,1.0
555bc9aa-c70e-462e-ad7f-94147b42468c,4.0,3.0,4.0,4.0,4.0,4.0
55e57b2f-baf8-4238-bfe7-61f4242031d0,3.0,2.0,2.5,2.0,3.5,2.5
56186015-71e9-47d8-9c4f-61e7148052c3,3.0,2.0,2.0,2.0,4.0,3.0
5676748c-2bc5-4ba6-9b6b-9bd137d4e433,1.0,1.0,1.0,1.0,3.0,1.0
56c4f960-a0a6-4000-b629-10710d2d5e4d,1.0,1.0,1.0,1.0,3.0,1.0
5a2b76af-328f-44a9-a684-8b8fe7c820bc,1.0,1.0,1.0,1.0,3.0,1.0
5a5930dd-cd78-4c5f-9ea0-6120af1253ab,2.0,1.0,1.0,1.0,4.0,2.0
5bc1c971-ed75-44a9-9b81-5a63458ba882,2.0,1.0,2.0,1.0,4.0,2.0
5c819f44-7708-45fd-8e16-2dfea3e28e52,2.0,1.0,2.0,1.0,3.0,2.0
5ca6b0c5-4c63-4e3c-bc5d-08fb78a4d62a,2.0,1.0,2.0,1.0,3.0,1.0
5e146b9b-b64d-43fe-a57b-3f25b7e7bffa,4.0,3.0,3.0,3.0,4.0,4.0
5e7407c0-812c-44f6-b415-a9bc492dd8e1,2.0,2.0,2.0,2.0,3.0,2.0
5e7dcf74-e138-4730-984e-6a00c7f14267,4.0,3.0,3.0,3.0,4.0,4.0
5f543e72-e39d-4934-b739-ed8b1442d008,4.0,3.0,3.0,3.0,4.0,3.0
5f85c06c-dca8-4e11-9e1a-686c8c40f68c,2.0,2.0,2.0,1.0,4.0,2.0
5fbde929-79a5-4fbb-8dc1-9392d06e6d95,3.0,3.0,3.0,2.0,4.0,3.0
61d2629e-fe8f-4130-9563-d3c8a8a8ac10,3.0,2.0,3.0,1.0,4.0,3.0
64393890-a0d6-4f0c-928a-0fddee4643a0,1.0,1.0,1.0,1.0,4.0,1.0
647c51f1-b293-4700-8ca4-7e4043fb9875,4.0,3.0,3.0,2.0,3.5,3.0
654c3f7b-677b-4933-8e15-aef57fc7e585,2.0,1.0,1.5,1.0,3.0,2.0
65aaf17f-d622-4c53-a616-f15c465b4780,1.0,1.0,1.0,1.0,3.0,1.0
65fd40f4-d0e6-43c6-8842-80b6192f9cb0,3.0,2.0,3.0,2.0,4.0,3.0
66178f0c-b9c8-46da-89fd-eba7ebc449ef,4.0,3.0,3.0,3.0,4.0,4.0
666ed002-9e89-4024-b997-1cb4479f8d57,3.0,2.0,2.0,1.0,3.5,2.0
66b7b64c-b90b-4c33-839d-fa0f6a722020,1.0,1.0,1.0,1.0,3.0,1.0
66bf739f-9b52-4b55-87de-68e4eb694632,3.0,2.0,3.0,1.0,4.0,3.0
671f58b6-3c97-40d7-a55b-cf7fd8d73b61,1.0,1.0,1.0,1.0,3.0,1.0
673c52fc-00ec-41e5-a825-716d8dd10dcc,1.0,2.0,1.0,1.0,3.0,2.0
67b15a33-3501-4960-98b5-a8ee88ad8739,2.0,2.0,2.0,1.0,3.0,2.0
67c25bbb-cac3-4e0f-bd26-7724daad2d9d,3.0,2.0,2.0,2.0,4.0,3.0
67ea9fd8-4d7c-4e72-be8c-cd139eddec6b,1.0,1.0,1.0,1.0,4.0,1.0
67fb0346-989b-407e-b7ee-bb918caa6968,2.0,1.0,2.0,1.0,3.0,2.0
686bc9a5-6e87-4b70-8858-df8a311ecb04,1.0,1.0,1.0,1.0,3.0,1.0
69956b6a-13ac-4487-8b2d-666869206406,3.0,2.0,2.0,2.0,4.0,2.0
69b41074-51c4-4721-8f6f-e3295214b3bc,2.0,1.0,1.0,1.0,4.0,2.0
6a408899-8e7e-4b86-9f8d-487d36bfbfb7,3.0,2.0,2.5,2.0,3.5,2.5
6a706859-3538-463d-bac6-ee536bd59beb,1.0,1.0,1.0,1.0,3.0,1.0
6b5ea1a0-68b7-4618-8e67-7f81869b1aa5,1.0,1.0,1.0,1.0,3.0,1.0
6b668b0b-a317-45c7-94a3-c2ac9cd6b3c9,4.0,4.0,3.0,4.0,4.0,4.0
6bd4320b-d378-4ac0-8653-31549e54e79c,4.0,3.0,3.0,2.0,4.0,4.0
6ce1f475-331b-4801-b2b7-a84542be8f19,3.0,2.0,3.0,1.0,4.0,2.5
6dab7028-4f87-47cf-b29d-91b1345fccdb,2.5,2.0,3.0,1.0,3.5,2.5
6fbe711c-ce5a-40ae-b9a2-024298a3f69a,4.0,3.0,3.0,3.0,5.0,4.0
712774c3-de71-42f7-9d87-040acc783007,1.0,1.0,1.0,1.0,2.0,1.0
71a0cec1-57b8-4526-b1b7-9a61411dcfb2,3.0,3.0,3.0,2.0,4.0,3.0
758c5bee-062b-47f9-a8c1-988c85bf92f1,2.0,1.0,2.0,1.0,3.0,2.0
76afa105-4003-458c-87f2-f16c18f830ad,1.0,1.0,1.0,1.0,4.0,2.0
76e41d68-6554-4ca5-b699-b365ec3d304b,1.0,1.0,1.0,1.0,3.0,1.0
76fe8673-c04d-4a2f-926a-f20105185ad3,1.0,1.0,1.0,1.0,2.0,1.0
7861ae57-031f-4f17-97cb-1fbdf8cc2b61,1.0,1.0,1.0,1.0,3.0,1.0
797a196f-67d4-4fa9-966a-5cbc80df7632,2.0,1.0,1.0,2.0,4.0,2.0
79b4ec37-a344-4eea-bae4-b1c52bbe72f7,2.5,3.0,3.0,2.0,3.5,3.0
7a06b34b-cef3-486f-9fc9-73dd8b8009de,3.0,2.0,3.0,2.0,4.0,3.0
7a1165c5-ee43-4753-bfbf-403a3709278f,4.0,2.0,3.0,2.0,4.0,3.0
7acda3b2-18a7-45a7-9422-728b902edfa6,1.0,1.0,1.0,1.0,2.0,1.0
7b49c8cc-730d-4f6d-b8d7-9a78e8cf2a4e,2.0,1.0,1.0,1.0,3.0,2.0
7c11ffa7-af3c-4ee1-bd50-7a41476ec020,3.0,2.0,3.0,2.0,4.0,3.0
7cd04745-edb3-44d6-bbb1-3361f811be28,3.0,3.0,3.0,2.0,4.0,3.0
7db71992-031f-4ea3-8a20-f700d92a5e88,3.0,2.5,2.0,2.0,4.0,2.5
7dc7527b-e0f4-44c8-9b9e-3db21e8cc304,1.0,1.0,1.0,1.0,2.0,1.0
81cbcfdd-a2e7-4c52-a346-b970a6086b2a,3.0,3.0,3.0,2.0,4.0,3.0
853cbfab-6068-4b94-847e-90a98be967c4,1.0,1.0,1.0,1.0,2.0,1.0
8567a810-17e5-4f0a-aa6b-bb07471879e2,1.0,1.0,1.0,1.0,3.5,1.5
85c57764-c489-48fe-bb7f-d1a05f4bb316,2.0,2.0,2.0,1.0,4.0,2.0
88caa705-2feb-48cd-8f05-99a6008739f2,4.0,3.0,3.0,3.0,4.0,4.0
8a6a6d72-1d19-4421-ad39-d3464b61caba,1.0,1.0,1.0,1.0,2.0,1.0
8d5f2ee3-7163-41b8-8956-bb86499a565a,2.5,3.0,3.0,2.0,3.5,2.5
8e4ac644-f885-43b9-87f8-9919ca43a414,1.0,1.0,1.0,1.0,3.0,1.0
8eb7272f-2bb6-4045-be2d-bc65ae93c6c0,3.0,2.0,2.0,1.0,4.0,2.5
8f00daca-1faf-42d5-81b3-9168304d8d42,1.0,1.0,1.0,1.0,4.0,1.0
8f4ecd5c-dbb8-4f2b-8e15-54815a3e17fa,4.0,4.0,3.0,3.5,4.0,4.0
907cb0cf-36c0-4883-a2d7-b74e4f5ebaed,2.0,1.0,2.0,1.0,3.0,2.0
91641e34-b86c-479c-9275-0642ab9ff311,1.0,1.0,1.0,1.0,3.0,1.0
920c2c89-9a56-4c7b-a100-beb40e0d4b8e,4.0,3.0,3.0,2.0,4.0,4.0
92a20357-c1d4-4b29-b6d2-39191c57500f,3.0,3.0,2.0,1.0,4.0,3.0
93d2ab5c-0c9c-42e5-b21b-d98762095905,4.0,3.0,3.0,3.0,4.0,4.0
9411ef53-fd59-4d4b-91b5-7e950e62fad2,3.0,3.0,2.0,2.0,3.0,3.0
96dfd77a-69cd-428c-a710-4e1323fc4a1e,3.0,2.0,3.0,2.0,3.5,3.0
9731e846-8af6-427c-9837-2c4eb35c0075,4.0,3.0,4.0,3.0,4.0,4.0
97a60b6e-decb-47d2-8af1-86607740486b,1.0,1.0,1.0,1.0,3.0,1.0
99322a64-95f3-4ac0-ab27-aad1f5866ac9,4.0,3.0,3.0,2.0,4.0,4.0
9ab6ac7d-569c-4d2b-ba09-820e0e582603,3.0,2.0,2.0,1.0,4.0,3.0
9ac30c32-0e4e-439b-9f9a-91a96d720e12,3.0,2.0,2.0,2.0,4.0,2.0
9be2048b-97af-465d-b118-dad7e9b91d51,1.0,1.0,1.0,1.0,2.0,1.0
9dbd9c5b-0c7f-4440-98f5-0ff8869d31ff,2.0,1.0,1.0,1.0,3.0,2.0
a0c400fe-c698-44ae-90eb-718bd74801ff,1.0,1.0,1.0,1.0,2.0,1.0
a0c8c62c-b4cb-4e04-b0d3-e0097335eeb5,2.0,1.0,2.0,1.0,4.0,2.0
a3fa9fc3-7b83-431f-9b04-aa9a88b57bf8,1.0,1.0,1.0,1.0,3.0,1.0
a4ea02d1-176f-46cf-b714-2f44f66b3b2c,2.5,2.0,2.0,1.0,3.0,2.0
a7963393-eb9c-417e-b73b-6f0cafd220a9,4.0,3.0,3.0,2.0,3.5,3.0
a93c6d47-97c8-457f-9bf0-a52fd426d4c7,1.5,1.0,1.0,1.0,3.0,1.5
a9554e0e-dff6-475b-9dc6-f5ab0d28fcc6,2.0,2.0,2.0,1.0,4.0,2.0
aaabde5f-2cdf-42ab-adad-c871ee7943b7,1.0,1.0,1.0,1.0,3.0,1.0
aad5f39c-fc67-4880-ac35-d5e8eaba883e,3.0,2.0,3.0,1.0,4.0,3.0
ab596a42-1fc9-4568-b367-4e12709471dc,2.0,2.0,2.0,1.0,4.0,2.0
ac987f28-317e-415c-8175-b4830301a392,3.0,2.0,3.0,1.0,4.0,3.0
aca53eed-50fe-4262-9732-6501f29d1ac5,2.0,1.0,2.0,1.0,3.0,1.0
ae0b3eaf-7bcc-475c-a0c4-05a384d670c7,3.0,2.0,3.0,1.0,4.0,3.0
af9216b6-71f8-4cd2-9320-aaa05df3a88e,3.0,3.0,3.0,2.5,4.0,3.0
b0c212b6-21a4-47fd-8af8-fadf50a0cc5c,1.0,1.0,1.0,1.0,3.0,1.0
b204b29b-a2cd-4bc6-8d3d-18032fad5699,3.0,2.0,3.0,1.0,3.5,2.5
b2174686-a4a8-4654-a332-4c1f7482734b,2.0,1.0,2.0,1.0,4.0,2.0
b33aeaa1-6fea-4b4a-97ea-f9fd6a954d22,3.0,2.0,3.0,1.0,4.0,3.0
b7387d01-6faf-4e5b-9ae5-d874f2ddf746,3.0,2.0,3.0,1.0,4.0,2.0
b8addc95-c799-4b2d-9517-f884ef6c6477,2.5,2.0,2.0,3.0,3.5,2.5
ba33f2dc-8365-4cf9-a290-d371f526dae9,3.0,2.0,3.0,2.0,4.0,3.0
bab7926c-e44b-4cc0-b666-bf1ae2cd68c1,2.0,1.0,1.0,1.0,4.0,2.0
bbcf6f48-e8c5-4988-b394-19d24c70eba5,4.0,3.0,3.0,2.0,4.0,4.0
bbd68e18-b1fd-4181-ab70-febbfd849b38,4.0,4.0,4.0,2.0,4.0,4.0
bca84444-87d5-4ca6-991c-70c1c0c89841,4.0,3.0,3.0,2.0,4.0,4.0
becb4f67-ae3c-44df-aa1d-5a2d0c0d2078,3.0,2.0,2.0,1.0,4.0,2.0
bfd99194-1b7d-4696-9ca7-6e3d475b5bc5,4.0,3.0,3.0,2.0,4.0,4.0
c05a4486-7763-489a-98f4-5814ce4bbb11,1.0,1.0,1.0,1.0,4.0,1.0
c0aeb0f8-c250-4dfc-85fc-e7c14729ad4d,2.0,1.0,1.0,1.0,3.0,2.0
c13f879c-5a7c-4fb3-9cb3-571057ad7c85,2.0,2.0,2.0,1.5,3.5,2.0
c2296ed7-ac11-4635-a910-39e1042d0081,1.0,1.0,1.0,1.0,2.0,1.0
c2952cfc-d217-45d7-85c9-1934b9243bd7,4.0,3.0,3.0,3.0,4.0,4.0
c3ee5d0a-1c4f-44c8-999e-78a5f61d8a86,4.0,3.5,3.0,4.0,4.0,4.0
c408db90-c5ed-4230-8010-02863f01ee7f,1.0,1.0,1.0,1.0,3.0,1.0
c46f42cb-54c5-4253-9449-75791aa54dc9,3.0,2.0,2.0,2.0,4.0,3.0
c74a2f69-f68f-40f1-8422-18745563d2b1,1.0,1.0,1.0,1.0,2.0,1.0
c9300663-80b4-4040-92ae-b37588e773d0,3.0,3.0,2.0,2.0,4.0,3.0
ca9cbfab-3fc6-421f-9ed0-8089fbf4b357,3.0,2.0,2.0,2.0,4.0,2.0
cb39bb94-530a-4b5b-892f-b99d7b7a3b1d,4.0,3.0,3.0,2.0,4.0,4.0
cc41815d-d4d7-42c0-b4e6-d00f4a2859b8,1.0,1.0,1.0,1.0,3.0,1.0
cc6571c9-e13e-4cf2-b32f-bc1f0e37ff0b,3.0,2.0,2.0,2.0,3.0,3.0
cd62d4d8-eb43-409f-b7d6-218b3c972623,4.0,2.0,3.0,2.0,4.0,3.0
d08345bd-f53a-4c68-be8a-b99951878456,3.0,3.0,3.0,1.0,3.5,2.5
d32b68e4-b73d-4784-a7d0-bee72727f5ff,1.0,1.0,1.0,1.0,3.0,1.0
d3cf7df0-f73a-4abc-8b92-597ceb4cab8c,1.0,1.0,1.0,1.0,3.0,1.0
d489df47-d50a-4429-b0cc-4d9532b04a83,1.0,1.0,1.0,1.0,2.0,1.0
d7460138-27ba-4dd1-9f02-34fccb949fc7,3.0,3.0,3.0,2.0,4.0,3.0
d9e87204-0fa0-4985-b05d-6768e00966b2,4.0,3.0,3.0,3.0,4.0,4.0
da9e51d5-7fe8-4049-828f-37876eae0e3c,1.0,1.0,1.0,1.0,2.0,1.0
dbfd26c9-63dc-489f-918a-87a66d5d1b92,3.0,3.0,3.0,2.0,4.0,3.0
